episode,reward,avg100_reward,deposited,mean_entropy,elapsed_sec,stay,north,east,south,west,random,home
1,940.00,940.00,980,1.939,1.5,0.139,0.165,0.142,0.136,0.142,0.138,0.137
2,1634.00,1287.00,1326,1.934,1.6,0.128,0.160,0.128,0.160,0.160,0.106,0.160
3,140.00,904.67,179,1.913,2.0,0.174,0.087,0.096,0.196,0.169,0.123,0.155
4,1002.00,929.00,349,1.915,2.0,0.234,0.016,0.125,0.188,0.172,0.141,0.125
5,350.00,813.20,277,1.908,2.3,0.169,0.107,0.146,0.157,0.208,0.090,0.124
6,626.00,782.00,575,1.833,2.8,0.208,0.056,0.235,0.093,0.208,0.104,0.096
7,549.00,748.71,339,1.896,3.0,0.181,0.068,0.169,0.169,0.175,0.124,0.113
8,700.00,742.62,602,1.888,3.8,0.153,0.071,0.196,0.148,0.189,0.129,0.114
9,401.00,704.67,252,1.766,4.0,0.159,0.057,0.115,0.159,0.299,0.134,0.076
10,326.00,666.80,362,1.800,4.1,0.127,0.038,0.152,0.203,0.354,0.038,0.089
11,391.00,641.73,389,1.901,4.4,0.113,0.048,0.253,0.167,0.183,0.118,0.118
12,1135.00,682.83,1141,1.879,4.6,0.148,0.030,0.133,0.252,0.126,0.222,0.089
13,1010.00,708.00,700,1.776,4.8,0.099,0.045,0.108,0.405,0.090,0.072,0.180
14,558.00,697.29,360,1.836,5.2,0.183,0.028,0.150,0.300,0.098,0.104,0.138
15,682.00,696.27,602,1.795,5.6,0.173,0.049,0.194,0.230,0.085,0.099,0.170
16,613.00,691.06,530,1.830,5.8,0.153,0.053,0.218,0.300,0.071,0.106,0.100
17,369.00,672.12,189,1.875,6.1,0.126,0.042,0.176,0.272,0.096,0.201,0.088
18,564.00,666.11,518,1.887,6.5,0.177,0.068,0.206,0.161,0.087,0.164,0.138
19,555.00,660.26,538,1.911,6.8,0.145,0.097,0.188,0.164,0.087,0.159,0.159
20,856.00,670.05,760,1.897,7.3,0.171,0.083,0.177,0.248,0.100,0.133,0.088
21,669.00,670.00,537,1.893,7.7,0.239,0.168,0.126,0.179,0.088,0.140,0.060
22,1135.00,691.14,1109,1.897,7.8,0.245,0.122,0.194,0.082,0.112,0.163,0.082
23,1048.00,706.65,1088,1.834,8.0,0.233,0.155,0.109,0.202,0.147,0.078,0.078
24,719.00,707.17,634,1.814,8.5,0.306,0.221,0.104,0.122,0.101,0.086,0.060
25,572.00,701.76,573,1.887,8.8,0.215,0.170,0.175,0.150,0.090,0.110,0.090
26,966.00,711.92,938,1.896,10.0,0.213,0.176,0.146,0.136,0.108,0.119,0.103
27,226.00,693.93,163,1.785,10.3,0.155,0.280,0.185,0.060,0.150,0.125,0.045
28,373.00,682.46,245,1.841,10.5,0.203,0.177,0.120,0.063,0.247,0.127,0.063
29,554.00,678.03,363,1.833,10.8,0.174,0.198,0.140,0.077,0.217,0.135,0.058
30,1413.00,702.53,859,1.769,11.0,0.281,0.167,0.094,0.062,0.292,0.094,0.010
31,1534.00,729.35,713,1.683,11.2,0.284,0.135,0.142,0.043,0.277,0.092,0.028
32,961.00,736.59,225,1.699,11.6,0.348,0.187,0.094,0.071,0.210,0.077,0.013
33,573.00,731.64,613,1.504,11.7,0.524,0.143,0.095,0.024,0.167,0.048,0.000
