episode,reward,avg100_reward,deposited,mean_entropy,elapsed_sec,stay,north,east,south,west,random,home,prospect
1,1313.00,1313.00,875,2.079,0.2,0.216,0.096,0.120,0.096,0.168,0.064,0.112,0.128
2,1392.00,1352.50,1337,2.077,0.4,0.089,0.123,0.116,0.144,0.103,0.137,0.137,0.151
3,1366.00,1357.00,1341,1.945,0.6,0.122,0.073,0.098,0.152,0.159,0.104,0.213,0.079
4,193.00,1066.00,185,1.822,1.3,0.083,0.093,0.091,0.305,0.047,0.014,0.309,0.057
5,679.00,988.60,674,1.787,1.6,0.083,0.083,0.088,0.249,0.083,0.044,0.326,0.044
6,159.00,850.33,132,1.660,1.8,0.042,0.161,0.042,0.234,0.120,0.016,0.370,0.016
7,986.00,869.71,985,1.793,2.6,0.063,0.189,0.057,0.181,0.118,0.032,0.345,0.015
8,317.00,800.62,312,1.829,3.0,0.061,0.213,0.064,0.178,0.092,0.041,0.315,0.035
9,533.00,770.89,533,1.751,3.1,0.068,0.288,0.017,0.153,0.017,0.102,0.356,0.000
10,554.00,749.20,506,1.887,3.3,0.081,0.274,0.037,0.237,0.044,0.089,0.215,0.022
11,471.00,723.91,469,2.005,4.6,0.151,0.198,0.065,0.166,0.113,0.112,0.153,0.043
12,422.00,698.75,248,2.004,4.9,0.139,0.169,0.122,0.135,0.135,0.072,0.165,0.063
13,1879.00,789.54,1305,1.950,5.2,0.194,0.104,0.104,0.179,0.144,0.109,0.075,0.090
14,439.00,764.50,228,1.935,6.0,0.150,0.107,0.050,0.339,0.079,0.141,0.032,0.102
15,538.00,749.40,298,1.887,6.4,0.124,0.144,0.027,0.379,0.067,0.111,0.037,0.111
16,631.00,742.00,513,1.867,6.8,0.124,0.144,0.056,0.294,0.035,0.176,0.050,0.121
17,917.00,752.29,887,2.015,7.3,0.145,0.158,0.131,0.231,0.054,0.091,0.056,0.134
18,766.00,753.06,635,1.967,7.4,0.075,0.119,0.075,0.194,0.045,0.209,0.090,0.194
19,1044.00,768.37,926,2.025,8.3,0.159,0.148,0.121,0.197,0.055,0.149,0.041,0.131
20,1875.00,823.70,827,1.985,8.4,0.085,0.153,0.186,0.195,0.076,0.136,0.042,0.127
21,1831.00,871.67,1051,1.919,8.7,0.161,0.167,0.115,0.208,0.052,0.156,0.047,0.094
22,624.00,860.41,498,1.934,9.4,0.116,0.237,0.123,0.209,0.099,0.138,0.024,0.054
23,478.00,843.78,452,1.845,9.7,0.029,0.180,0.029,0.205,0.117,0.209,0.176,0.054
24,398.00,825.21,209,1.860,10.4,0.069,0.212,0.006,0.155,0.094,0.233,0.138,0.094
25,802.00,824.28,678,1.754,10.7,0.044,0.220,0.006,0.189,0.006,0.314,0.157,0.063
26,660.00,817.96,559,1.900,11.0,0.181,0.177,0.051,0.098,0.012,0.260,0.185,0.035
27,1450.00,841.37,981,1.627,11.1,0.153,0.118,0.012,0.129,0.012,0.353,0.141,0.082
28,299.00,822.00,258,1.721,11.5,0.064,0.106,0.032,0.199,0.006,0.401,0.154,0.038
29,478.00,810.14,468,1.965,13.3,0.091,0.117,0.071,0.185,0.014,0.281,0.156,0.086
30,1573.00,835.57,958,1.674,13.4,0.143,0.143,0.016,0.175,0.016,0.302,0.143,0.063
31,455.00,823.29,358,1.460,13.5,0.050,0.025,0.000,0.438,0.025,0.250,0.138,0.075
32,612.00,816.69,439,1.545,13.8,0.145,0.000,0.000,0.406,0.051,0.261,0.138,0.000
33,233.00,799.00,175,1.571,14.0,0.153,0.000,0.012,0.344,0.043,0.215,0.221,0.012
