episode,reward,avg100_reward,deposited,mean_entropy,elapsed_sec,opponent,current_lr,stay,north,east,south,west,random,home,prospect
1,11592.00,11592.00,3780,2.007,6.1,idle,3.00e-04,0.118,0.116,0.131,0.129,0.119,0.113,0.137,0.137
2,14952.50,13272.25,3426,1.760,11.6,idle,3.00e-04,0.128,0.128,0.160,0.122,0.089,0.217,0.046,0.111
3,9621.50,12055.33,2822,1.688,16.7,idle,3.00e-04,0.202,0.116,0.069,0.044,0.136,0.297,0.093,0.042
4,8706.50,11218.12,3241,1.685,22.0,idle,3.00e-04,0.330,0.089,0.038,0.007,0.058,0.275,0.147,0.055
5,5478.50,10070.20,2013,1.337,25.2,idle,3.00e-04,0.391,0.161,0.056,0.001,0.069,0.007,0.230,0.085
6,7241.50,9598.75,912,0.834,29.4,idle,3.00e-04,0.202,0.739,0.020,0.002,0.023,0.006,0.008,0.000
7,12295.00,9983.93,2084,0.825,34.3,idle,3.00e-04,0.289,0.676,0.019,0.001,0.002,0.009,0.004,0.000
8,11249.50,10142.12,2373,0.900,40.0,idle,3.00e-04,0.315,0.662,0.003,0.001,0.000,0.005,0.014,0.000
9,40167.00,13478.22,12017,1.148,47.6,idle,3.00e-04,0.506,0.138,0.306,0.001,0.000,0.048,0.001,0.000
10,22543.00,14384.70,6982,1.022,54.9,idle,3.00e-04,0.412,0.075,0.362,0.002,0.000,0.147,0.001,0.000
11,41492.50,16849.05,14194,0.856,61.7,idle,3.00e-04,0.494,0.282,0.000,0.001,0.000,0.223,0.000,0.000
12,25100.50,17536.67,8894,0.780,66.4,idle,3.00e-04,0.650,0.323,0.000,0.000,0.000,0.027,0.000,0.000
13,5236.00,16590.46,1702,0.440,68.6,idle,3.00e-04,0.953,0.015,0.000,0.000,0.000,0.032,0.000,0.000
14,17886.50,16683.04,6828,0.574,73.3,idle,3.00e-04,0.770,0.011,0.001,0.003,0.001,0.214,0.001,0.000
15,0.00,15570.83,0,0.010,74.5,idle,3.00e-04,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16,21.00,14598.97,0,0.242,76.3,idle,3.00e-04,0.977,0.023,0.000,0.000,0.000,0.000,0.000,0.000
17,6224.50,14106.35,2292,0.233,80.5,idle,3.00e-04,0.889,0.111,0.000,0.000,0.000,0.000,0.000,0.000
18,0.00,13322.67,0,0.030,82.0,idle,3.00e-04,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19,375.00,12641.21,0,0.356,83.8,idle,3.00e-04,0.988,0.000,0.000,0.012,0.000,0.000,0.000,0.000
