episode,deposited_agent,deposited_opp,win_rate,mean_entropy,mean_value,mean_kl,lambda_bc,lr,n_steps
1,14227.666666666666,11565.333333333334,0.6666666666666666,0.5192169547080994,-0.808980405330658,0.0,0.0,0.0002,26740
2,3913.8333333333335,27553.333333333332,0.0,0.4598314166069031,-0.2520323097705841,0.0,0.0,0.0002,16500
3,5198.0,16570.833333333332,0.16666666666666666,0.4244462847709656,1.0326815843582153,0.0,0.0,0.0002,18892
4,6568.333333333333,16373.333333333334,0.3333333333333333,0.42403891682624817,2.6943259239196777,0.0,0.0,0.0002,20709
5,10427.833333333334,19636.5,0.3333333333333333,0.5186030268669128,4.254190444946289,0.0,0.0,0.0002,25515
6,12915.5,23877.166666666668,0.0,0.4702413082122803,5.416276931762695,0.0,0.0,0.0002,28378
7,12318.166666666666,22413.666666666668,0.0,0.5568720102310181,7.04971170425415,0.0,0.0,0.0002,27076
8,24630.333333333332,31521.666666666668,0.3333333333333333,0.6184132099151611,9.192666053771973,0.0,0.0,0.0002,29177
9,15951.5,31688.166666666668,0.0,0.6117250323295593,9.92141342163086,0.0,0.0,0.0002,23649
10,16069.5,37956.5,0.0,0.5864596962928772,11.676121711730957,0.0,0.0,0.0002,25993
11,23273.833333333332,30005.5,0.16666666666666666,0.652350664138794,14.099864959716797,0.0,0.0,0.0002,28488
12,17402.0,25967.666666666668,0.3333333333333333,0.6351708173751831,15.375638961791992,0.0,0.0,0.0002,27471
13,21261.666666666668,36505.333333333336,0.0,0.650277316570282,16.109596252441406,0.0,0.0,0.0002,26374
14,15033.5,21633.333333333332,0.3333333333333333,0.6672996878623962,17.845439910888672,0.0,0.0,0.0002,25841
15,23938.333333333332,33260.333333333336,0.16666666666666666,0.6090826392173767,19.371007919311523,0.0,0.0,0.0002,27924
16,35492.166666666664,33805.666666666664,0.6666666666666666,0.6256654262542725,23.526716232299805,0.0,0.0,0.0002,30216
17,12293.833333333334,21804.0,0.5,0.6709132194519043,21.40132713317871,0.0,0.0,0.0002,27104
18,23272.0,30580.666666666668,0.16666666666666666,0.6451019048690796,24.835861206054688,0.0,0.0,0.0002,26137
19,23173.166666666668,33951.0,0.0,0.653771698474884,25.814138412475586,0.0,0.0,0.0002,27883
20,14786.666666666666,25108.666666666668,0.3333333333333333,0.6859325170516968,25.864789962768555,0.0,0.0,0.0002,28624
21,16707.333333333332,26765.5,0.3333333333333333,0.6864666938781738,26.952089309692383,0.0,0.0,0.0002,26700
22,21365.333333333332,27475.0,0.0,0.6690866947174072,28.431970596313477,0.0,0.0,0.0002,27790
26,19618.5,28364.166666666668,0.3333333333333333,0.5123135447502136,32.372779846191406,2.2524815792182706,1.0,1e-05,27017
27,5912.666666666667,24797.166666666668,0.0,0.29231777787208557,29.802160263061523,1.851461761175318,0.9904999999999999,1e-05,24024
28,7096.666666666667,24609.5,0.0,0.24290816485881805,29.83854866027832,1.2457822554566886,0.981,1e-05,22550
29,6679.0,25897.0,0.0,0.23591917753219604,29.928380966186523,1.0633716902819024,0.9714999999999999,1e-05,21021
