pair_idx,game_idx,seed,bot_a,bot_b,winner,halite_a,halite_b,turns,seconds,error
0,0,1,V71,rl_v1,V71,9610,149,400,5.8,
0,1,2,V71,rl_v1,V71,10749,605,400,5.8,
0,2,3,V71,rl_v1,V71,1650,0,400,5.1,
0,3,4,V71,rl_v1,V71,4909,411,400,5.8,
0,4,5,V71,rl_v1,V71,7798,939,400,5.6,
0,5,6,V71,rl_v1,V71,21475,0,400,5.2,
0,6,7,V71,rl_v1,V71,771,0,400,4.9,
0,7,8,V71,rl_v1,V71,18191,355,400,5.7,
0,8,9,V71,rl_v1,V71,1886,0,400,5.2,
0,9,10,V71,rl_v1,V71,17906,273,400,5.9,
1,0,1,V71,rl_v2,V71,22276,133,400,6.2,
1,1,2,V71,rl_v2,V71,39585,102,400,6.5,
1,2,3,V71,rl_v2,V71,33393,505,400,6.3,
1,3,4,V71,rl_v2,V71,33458,769,400,6.3,
1,4,5,V71,rl_v2,V71,26842,0,400,5.9,
1,5,6,V71,rl_v2,V71,39747,23,400,6.5,
1,6,7,V71,rl_v2,V71,23995,377,400,6.3,
1,7,8,V71,rl_v2,V71,43746,869,400,6.4,
1,8,9,V71,rl_v2,V71,24196,0,400,5.8,
1,9,10,V71,rl_v2,V71,39172,185,400,6.6,
2,0,1,V71,rl_v3,V71,21314,1280,400,6.9,
2,1,2,V71,rl_v3,V71,34058,1851,400,8.3,
2,2,3,V71,rl_v3,rl_v3,901,1416,400,8.2,
2,3,4,V71,rl_v3,V71,39211,1432,400,8.3,
2,4,5,V71,rl_v3,V71,12137,1664,400,9.7,
2,5,6,V71,rl_v3,V71,44057,1629,400,9.3,
2,6,7,V71,rl_v3,V71,30345,1934,400,7.7,
2,7,8,V71,rl_v3,V71,36310,1701,400,11.2,
2,8,9,V71,rl_v3,V71,19001,1155,400,9.6,
2,9,10,V71,rl_v3,V71,29840,1861,400,8.2,
3,0,1,V71,rl_v4,V71,19819,3308,400,7.3,
3,1,2,V71,rl_v4,V71,28413,3889,400,15.8,
3,2,3,V71,rl_v4,V71,13100,95,400,15.4,
3,3,4,V71,rl_v4,V71,34905,828,400,11.4,
3,4,5,V71,rl_v4,V71,12446,2183,400,14.4,
3,5,6,V71,rl_v4,V71,16539,3586,400,21.7,
3,6,7,V71,rl_v4,V71,32245,1805,400,16.1,
3,7,8,V71,rl_v4,V71,32468,3178,400,15.1,
3,8,9,V71,rl_v4,V71,23827,387,400,15.5,
3,9,10,V71,rl_v4,V71,12271,1259,400,20.7,
4,0,1,V71,rl_v5,V71,27182,5937,400,39.8,
4,1,2,V71,rl_v5,V71,12123,5845,400,29.6,
4,2,3,V71,rl_v5,V71,30813,16987,400,38.4,
4,3,4,V71,rl_v5,V71,38672,3270,400,39.5,
4,4,5,V71,rl_v5,V71,35132,19435,400,42.6,
4,5,6,V71,rl_v5,V71,42788,14799,400,43.5,
4,6,7,V71,rl_v5,V71,18171,2032,400,35.9,
4,7,8,V71,rl_v5,V71,25664,8827,400,39.5,
4,8,9,V71,rl_v5,V71,19700,10099,400,40.3,
4,9,10,V71,rl_v5,V71,33460,8102,400,43.2,
5,0,1,V71,rl_v7,V71,24942,3417,400,8.8,
5,1,2,V71,rl_v7,V71,27314,760,400,7.9,
5,2,3,V71,rl_v7,V71,34870,7521,400,8.8,
5,3,4,V71,rl_v7,V71,38883,5633,400,8.2,
5,4,5,V71,rl_v7,V71,17411,7468,400,7.9,
5,5,6,V71,rl_v7,V71,21503,5318,400,8.8,
5,6,7,V71,rl_v7,V71,25922,638,400,7.0,
5,7,8,V71,rl_v7,V71,29760,2024,400,7.0,
5,8,9,V71,rl_v7,V71,3477,766,400,6.9,
5,9,10,V71,rl_v7,V71,25242,3497,400,7.6,
6,0,1,V71,rl_v8,V71,25341,12622,400,8.4,
6,1,2,V71,rl_v8,V71,17612,6687,400,7.4,
6,2,3,V71,rl_v8,rl_v8,12349,13275,400,9.0,
6,3,4,V71,rl_v8,V71,42561,10658,400,10.2,
6,4,5,V71,rl_v8,V71,22349,9562,400,6.4,
6,5,6,V71,rl_v8,V71,34735,14016,400,8.9,
6,6,7,V71,rl_v8,V71,32192,9311,400,8.4,
6,7,8,V71,rl_v8,V71,38179,8442,400,7.3,
6,8,9,V71,rl_v8,V71,9757,8073,400,6.1,
6,9,10,V71,rl_v8,V71,28860,10946,400,7.4,
7,0,1,V71,rl_v9,rl_v9,3021,6088,400,12.4,
7,1,2,V71,rl_v9,rl_v9,4081,9281,400,16.1,
7,2,3,V71,rl_v9,V71,24151,12918,400,13.5,
7,3,4,V71,rl_v9,rl_v9,9874,11144,400,13.3,
7,4,5,V71,rl_v9,rl_v9,6329,12874,400,9.1,
7,5,6,V71,rl_v9,rl_v9,6407,43251,400,9.6,
7,6,7,V71,rl_v9,rl_v9,4754,12704,400,13.2,
7,7,8,V71,rl_v9,rl_v9,11645,44286,400,11.1,
7,8,9,V71,rl_v9,V71,13649,12501,400,11.5,
7,9,10,V71,rl_v9,rl_v9,4137,13443,400,13.9,
8,0,1,rl_v1,rl_v2,rl_v2,216,395,400,7.9,
8,1,2,rl_v1,rl_v2,rl_v2,0,102,400,6.9,
8,2,3,rl_v1,rl_v2,rl_v2,0,588,400,7.3,
8,3,4,rl_v1,rl_v2,rl_v2,0,831,400,6.8,
8,4,5,rl_v1,rl_v2,TIE,0,0,400,6.8,
8,5,6,rl_v1,rl_v2,rl_v2,11,23,400,6.1,
8,6,7,rl_v1,rl_v2,rl_v2,0,377,400,6.0,
8,7,8,rl_v1,rl_v2,rl_v2,103,627,400,6.2,
8,8,9,rl_v1,rl_v2,TIE,0,0,400,6.1,
8,9,10,rl_v1,rl_v2,rl_v2,0,185,400,6.1,
9,0,1,rl_v1,rl_v3,rl_v3,348,2092,400,7.9,
9,1,2,rl_v1,rl_v3,rl_v3,413,1505,400,8.8,
9,2,3,rl_v1,rl_v3,rl_v3,0,1799,400,9.2,
9,3,4,rl_v1,rl_v3,rl_v3,442,1000,400,8.3,
9,4,5,rl_v1,rl_v3,rl_v3,0,1555,400,13.2,
9,5,6,rl_v1,rl_v3,rl_v3,0,1433,400,9.2,
9,6,7,rl_v1,rl_v3,rl_v3,417,2593,400,9.5,
9,7,8,rl_v1,rl_v3,rl_v3,0,1029,400,8.8,
9,8,9,rl_v1,rl_v3,rl_v3,0,1000,400,8.1,
9,9,10,rl_v1,rl_v3,rl_v3,0,1045,400,9.7,
10,0,1,rl_v1,rl_v4,rl_v4,395,3777,400,12.7,
10,1,2,rl_v1,rl_v4,rl_v4,0,3854,400,17.5,
10,2,3,rl_v1,rl_v4,rl_v4,0,97,400,17.2,
10,3,4,rl_v1,rl_v4,rl_v4,607,3136,400,17.2,
10,4,5,rl_v1,rl_v4,rl_v4,440,2290,400,17.0,
10,5,6,rl_v1,rl_v4,rl_v4,0,4402,400,10.1,
10,6,7,rl_v1,rl_v4,rl_v4,891,6042,400,20.3,
10,7,8,rl_v1,rl_v4,rl_v4,264,5437,400,17.6,
10,8,9,rl_v1,rl_v4,rl_v4,389,3180,400,18.4,
10,9,10,rl_v1,rl_v4,rl_v4,21,156,400,13.0,
11,0,1,rl_v1,rl_v5,rl_v5,360,1210,400,38.9,
11,1,2,rl_v1,rl_v5,rl_v5,0,2402,400,34.9,
11,2,3,rl_v1,rl_v5,TIE,0,0,400,21.0,
11,3,4,rl_v1,rl_v5,rl_v5,0,18594,400,36.1,
11,4,5,rl_v1,rl_v5,rl_v5,0,13294,400,39.0,
11,5,6,rl_v1,rl_v5,rl_v5,962,19819,400,40.1,
11,6,7,rl_v1,rl_v5,rl_v5,0,978,400,25.7,
